                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  119386084 |          0 |          0 |          0 |          0 |   30698280 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   30700799 |          0 |          0 |          0 |          0 |   30698995 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200 |   79201200
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.51 |       0.00 |       0.00 |       0.00 |       0.00 |       0.39 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.39 |       0.00 |       0.00 |       0.00 |       0.00 |       0.39 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300
  Idle time (ns)                     |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |     372482 |   19800300 |   19800300 |   19800300 |   19800300 |   15799879 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   15798816 |   19800300 |   19800300 |   19800300 |   19800300 |   15779521 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300 |   19800300
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       1.9% |     100.0% |     100.0% |     100.0% |     100.0% |      79.8% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      79.8% |     100.0% |     100.0% |     100.0% |     100.0% |      79.7% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    8432738 |          0 |          0 |          0 |          0 |    2501327 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    2501623 |          0 |          0 |          0 |          0 |    2501414 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     375183 |          0 |          0 |          0 |          0 |     193762 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     193782 |          0 |          0 |          0 |          0 |     193745 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      4.26% |      0.00% |      0.00% |      0.00% |      0.00% |      7.19% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      7.19% |      0.00% |      0.00% |      0.00% |      0.00% |      7.19% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
